Quarter,Tick,Barangay_ID,Barangay_Name,Total_Allocation_PHP,IEC_Percent,Enforcement_Percent,Incentives_Percent,Compliance_Rate,Active_Enforcers
1,0,BGY_0,Brgy Poblacion,114196.28,0.00%,0.00%,100.00%,12.88%,0
1,0,BGY_1,Brgy Liangan East,53525.62,0.00%,0.00%,100.00%,10.96%,0
1,0,BGY_2,Brgy Ezperanza,59554.20,0.00%,0.00%,100.00%,14.01%,0
1,0,BGY_3,Brgy Binuni,46599.16,0.00%,0.00%,100.00%,11.97%,0
1,0,BGY_4,Brgy Babalaya,26910.06,0.00%,0.00%,100.00%,14.79%,0
1,0,BGY_5,Brgy Mati,26332.85,0.00%,0.00%,100.00%,13.12%,0
1,0,BGY_6,Brgy Demologan,47881.84,0.00%,0.00%,100.00%,10.89%,0
2,90,BGY_0,Brgy Poblacion,114196.28,0.00%,0.00%,100.00%,4.64%,0
2,90,BGY_1,Brgy Liangan East,53525.62,0.00%,0.00%,100.00%,3.94%,0
2,90,BGY_2,Brgy Ezperanza,59554.20,0.00%,0.00%,100.00%,3.83%,0
2,90,BGY_3,Brgy Binuni,46599.16,0.00%,0.00%,100.00%,5.04%,0
2,90,BGY_4,Brgy Babalaya,26910.06,0.00%,0.00%,100.00%,2.96%,0
2,90,BGY_5,Brgy Mati,26332.85,0.00%,0.00%,100.00%,5.62%,0
2,90,BGY_6,Brgy Demologan,47881.84,0.00%,0.00%,100.00%,3.02%,0
3,180,BGY_0,Brgy Poblacion,114196.28,0.00%,0.00%,100.00%,0.26%,0
3,180,BGY_1,Brgy Liangan East,53525.62,0.00%,0.00%,100.00%,0.17%,0
3,180,BGY_2,Brgy Ezperanza,59554.20,0.00%,0.00%,100.00%,0.29%,0
3,180,BGY_3,Brgy Binuni,46599.16,0.00%,0.00%,100.00%,0.63%,0
3,180,BGY_4,Brgy Babalaya,26910.06,0.00%,0.00%,100.00%,2.37%,0
3,180,BGY_5,Brgy Mati,26332.85,0.00%,0.00%,100.00%,4.38%,0
3,180,BGY_6,Brgy Demologan,47881.84,0.00%,0.00%,100.00%,0.00%,0
4,270,BGY_0,Brgy Poblacion,114196.28,0.00%,0.00%,100.00%,0.07%,0
4,270,BGY_1,Brgy Liangan East,53525.62,0.00%,0.00%,100.00%,0.00%,0
4,270,BGY_2,Brgy Ezperanza,59554.20,0.00%,0.00%,100.00%,0.15%,0
4,270,BGY_3,Brgy Binuni,46599.16,0.00%,0.00%,100.00%,0.21%,0
4,270,BGY_4,Brgy Babalaya,26910.06,0.00%,0.00%,100.00%,0.59%,0
4,270,BGY_5,Brgy Mati,26332.85,0.00%,0.00%,100.00%,0.00%,0
4,270,BGY_6,Brgy Demologan,47881.84,0.00%,0.00%,100.00%,0.00%,0
5,360,BGY_0,Brgy Poblacion,114196.28,0.00%,0.00%,100.00%,0.00%,0
5,360,BGY_1,Brgy Liangan East,53525.62,0.00%,0.00%,100.00%,0.00%,0
5,360,BGY_2,Brgy Ezperanza,59554.20,0.00%,0.00%,100.00%,0.00%,0
5,360,BGY_3,Brgy Binuni,46599.16,0.00%,0.00%,100.00%,0.00%,0
5,360,BGY_4,Brgy Babalaya,26910.06,0.00%,0.00%,100.00%,0.00%,0
5,360,BGY_5,Brgy Mati,26332.85,0.00%,0.00%,100.00%,0.00%,0
5,360,BGY_6,Brgy Demologan,47881.84,0.00%,0.00%,100.00%,0.00%,0
