Step,Overall_Compliance,Incentive_Budget_Remaining,Enforcement_Budget_Set,Education_Budget_Set,P_Catch_Set,Edu_Boost_Set,Poblacion Bacolod_Compliance,Liangan East_Compliance,Esperanza_Compliance,Binuni_Compliance,Demologan_Compliance,Mati_Compliance,Babalaya_Compliance
1,0.145,0.0,0,0,0.0,0.0,0.1313364055299539,0.22377622377622378,0.17777777777777778,0.14960629921259844,0.12195121951219512,0.0,0.0
2,0.15,0.0,0,0,0.0,0.0,0.1336405529953917,0.23076923076923078,0.20555555555555555,0.13385826771653545,0.12195121951219512,0.0,0.0
3,0.144,0.0,0,0,0.0,0.0,0.14746543778801843,0.20279720279720279,0.16111111111111112,0.14173228346456693,0.07317073170731707,0.0,0.02702702702702703
4,0.161,0.0,0,0,0.0,0.0,0.15898617511520738,0.26573426573426573,0.18888888888888888,0.12598425196850394,0.0975609756097561,0.0,0.0
5,0.142,0.0,0,0,0.0,0.0,0.11981566820276497,0.23076923076923078,0.2,0.12598425196850394,0.0975609756097561,0.0,0.02702702702702703
6,0.151,0.0,0,0,0.0,0.0,0.1175115207373272,0.2517482517482518,0.20555555555555555,0.1732283464566929,0.12195121951219512,0.0,0.0
7,0.163,0.0,0,0,0.0,0.0,0.12672811059907835,0.27972027972027974,0.23333333333333334,0.14960629921259844,0.14634146341463414,0.02631578947368421,0.0
8,0.143,0.0,0,0,0.0,0.0,0.10138248847926268,0.2727272727272727,0.15555555555555556,0.1968503937007874,0.17073170731707318,0.0,0.0
9,0.156,0.0,0,0,0.0,0.0,0.1543778801843318,0.22377622377622378,0.16666666666666666,0.1732283464566929,0.12195121951219512,0.0,0.0
10,0.147,0.0,0,0,0.0,0.0,0.12211981566820276,0.23076923076923078,0.19444444444444445,0.1732283464566929,0.0975609756097561,0.0,0.0
11,0.131,0.0,0,0,0.0,0.0,0.12672811059907835,0.20279720279720279,0.1388888888888889,0.14960629921259844,0.04878048780487805,0.0,0.02702702702702703
12,0.147,0.0,0,0,0.0,0.0,0.12672811059907835,0.18181818181818182,0.18333333333333332,0.2125984251968504,0.14634146341463414,0.0,0.0
13,0.149,0.0,0,0,0.0,0.0,0.12903225806451613,0.23076923076923078,0.19444444444444445,0.14173228346456693,0.17073170731707318,0.0,0.0
14,0.159,0.0,0,0,0.0,0.0,0.1497695852534562,0.21678321678321677,0.2111111111111111,0.14960629921259844,0.14634146341463414,0.0,0.0
15,0.157,0.0,0,0,0.0,0.0,0.14285714285714285,0.1888111888111888,0.2222222222222222,0.1889763779527559,0.0975609756097561,0.0,0.0
16,0.145,0.0,0,0,0.0,0.0,0.14746543778801843,0.25874125874125875,0.13333333333333333,0.09448818897637795,0.17073170731707318,0.02631578947368421,0.0
17,0.17,0.0,0,0,0.0,0.0,0.15207373271889402,0.24475524475524477,0.22777777777777777,0.18110236220472442,0.0975609756097561,0.02631578947368421,0.0
18,0.156,0.0,0,0,0.0,0.0,0.14285714285714285,0.1958041958041958,0.2388888888888889,0.15748031496062992,0.07317073170731707,0.0,0.0
19,0.137,0.0,0,0,0.0,0.0,0.12672811059907835,0.16083916083916083,0.2,0.14173228346456693,0.12195121951219512,0.0,0.0
20,0.138,0.0,0,0,0.0,0.0,0.1336405529953917,0.18181818181818182,0.18333333333333332,0.13385826771653545,0.07317073170731707,0.02631578947368421,0.0
21,0.146,0.0,0,0,0.0,0.0,0.12211981566820276,0.23776223776223776,0.17222222222222222,0.1968503937007874,0.07317073170731707,0.0,0.0
22,0.142,0.0,0,0,0.0,0.0,0.12211981566820276,0.2097902097902098,0.20555555555555555,0.13385826771653545,0.12195121951219512,0.0,0.0
23,0.137,0.0,0,0,0.0,0.0,0.10829493087557604,0.2097902097902098,0.17777777777777778,0.1889763779527559,0.0975609756097561,0.0,0.0
